date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-07,80799645,C563,74,0,0,9,0.0,65,65.0,0.0
2025-10-07,80858069,A680,753,0,0,0,0.0,753,753.0,0.0
2025-10-07,80843403,A668,3838,0,0,20,0.0,3818,3818.0,0.0
2025-10-07,8084233901,D191,22,0,0,4,0.0,18,18.0,0.0
2025-10-07,8080407701,C563,3,0,0,0,0.0,3,3.0,0.0
2025-10-07,80799647,C816,1614,0,0,58,0.0,1556,1556.0,0.0
2025-10-07,80804079,C816,4109,0,0,227,52.0,3830,3830.0,0.0
2025-10-07,80842338,C816,2375,0,0,201,0.0,2174,2174.0,0.0
2025-10-07,8084232501,C816,5699,0,0,58,0.0,5641,5641.0,0.0
2025-10-07,8085806701,A668,824,0,0,0,0.0,824,824.0,0.0
2025-10-07,80804077,C816,7913,0,0,110,0.0,7803,7803.0,0.0
2025-10-07,80842342,E295,146,0,0,5,0.0,141,141.0,0.0
2025-10-07,80799645,C816,6519,0,0,25,141.0,6353,6353.0,0.0
2025-10-07,80786340,D191,1030,0,0,4,0.0,1026,1026.0,0.0
2025-10-07,80799646,D767,283,0,0,5,0.0,278,278.0,0.0
2025-10-07,8078436901,C816,1810,0,0,0,118.0,1692,1692.0,0.0
2025-10-07,8084340301,A668,3846,0,0,13,0.0,3833,3833.0,0.0
2025-10-07,80842340,A668,1074,0,0,71,0.0,1003,1003.0,0.0
2025-10-07,8078436601,C563,196,0,0,0,0.0,196,196.0,0.0
2025-10-07,8079964701,A668,3132,0,0,147,0.0,2985,2985.0,0.0
2025-10-07,8080407701,C816,7991,0,0,29,0.0,7962,7962.0,0.0
2025-10-07,80842325,D767,77,0,0,27,0.0,50,50.0,0.0
2025-10-07,80842342,A668,47,0,0,11,0.0,36,36.0,0.0
2025-10-07,80845184,C816,2738,0,0,187,0.0,2551,2551.0,0.0
2025-10-07,80804079,A680,1120,0,0,0,0.0,1120,1120.0,0.0
2025-10-07,80784369,A680,298,0,0,0,0.0,298,298.0,0.0
2025-10-07,80842334,A668,6577,0,0,397,0.0,6180,6180.0,0.0
2025-10-07,80799645,A680,1895,0,0,0,0.0,1895,1895.0,0.0
2025-10-07,80842328,A680,7836,0,0,0,0.0,7836,7836.0,0.0
2025-10-07,80784376,E295,620,0,0,11,0.0,609,609.0,0.0
2025-10-07,80858074,A680,173,0,0,0,0.0,173,173.0,0.0
