material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034979
21121756,A673,E564,2026-01-20,6,net demand for safety,21121756|A673|E564|2026-01-20|net demand for safety|034980
21121756,C816,D767,2026-01-20,3,net demand for safety,21121756|C816|D767|2026-01-20|net demand for safety|034981
80804699,A673,E556,2026-01-20,1,net demand for forecast,80804699|A673|E556|2026-01-20|net demand for forecast|035422
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035879
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035880
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035881
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035882
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035883
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035884
80812103,A673,E564,2026-01-20,1,net demand for forecast,80812103|A673|E564|2026-01-20|net demand for forecast|035885
80812839,A673,E556,2026-01-20,1,net demand for safety,80812839|A673|E556|2026-01-20|net demand for safety|035887
21121756,C816,D767,2026-01-21,2,net demand for safety,21121756|C816|D767|2026-01-21|net demand for safety|036314
21304907,C816,D767,2026-01-21,1,net demand for safety,21304907|C816|D767|2026-01-21|net demand for safety|036467
21352461,C816,C810,2026-01-21,1,net demand for safety,21352461|C816|C810|2026-01-21|net demand for safety|036530
80804699,A673,E556,2026-01-21,1,net demand for forecast,80804699|A673|E556|2026-01-21|net demand for forecast|036632
80804699,A673,E556,2026-01-21,1,net demand for forecast,80804699|A673|E556|2026-01-21|net demand for forecast|036633
21103372,A673,E556,2026-01-22,3,net demand for safety,21103372|A673|E556|2026-01-22|net demand for safety|037179
21118864,C816,D767,2026-01-22,1,net demand for safety,21118864|C816|D767|2026-01-22|net demand for safety|037190
21121751,C816,D767,2026-01-22,1,net demand for safety,21121751|C816|D767|2026-01-22|net demand for safety|037196
21170683,A673,E556,2026-01-22,2,net demand for safety,21170683|A673|E556|2026-01-22|net demand for safety|037382
21304907,C816,D767,2026-01-22,2,net demand for safety,21304907|C816|D767|2026-01-22|net demand for safety|037405
21352461,C816,C810,2026-01-22,3,net demand for safety,21352461|C816|C810|2026-01-22|net demand for safety|037455
80804699,A673,E556,2026-01-22,1,net demand for forecast,80804699|A673|E556|2026-01-22|net demand for forecast|037582
80804699,A673,E556,2026-01-22,1,net demand for forecast,80804699|A673|E556|2026-01-22|net demand for forecast|037583
80812154,C816,D767,2026-01-22,1,net demand for forecast,80812154|C816|D767|2026-01-22|net demand for forecast|037811
80812154,C816,D767,2026-01-22,1,net demand for forecast,80812154|C816|D767|2026-01-22|net demand for forecast|037812
80812154,C816,D767,2026-01-22,1,net demand for forecast,80812154|C816|D767|2026-01-22|net demand for forecast|037813
80812154,C816,D767,2026-01-22,1,net demand for forecast,80812154|C816|D767|2026-01-22|net demand for forecast|037814
80812154,C816,D767,2026-01-22,7,net demand for safety,80812154|C816|D767|2026-01-22|net demand for safety|037815
80840975,A673,E564,2026-01-22,1,net demand for forecast,80840975|A673|E564|2026-01-22|net demand for forecast|037948
80840975,A673,E564,2026-01-22,1,net demand for forecast,80840975|A673|E564|2026-01-22|net demand for forecast|037949
80840975,A673,E564,2026-01-22,1,net demand for forecast,80840975|A673|E564|2026-01-22|net demand for forecast|037950
80840975,A673,E564,2026-01-22,1,net demand for forecast,80840975|A673|E564|2026-01-22|net demand for forecast|037951
80840975,A673,E564,2026-01-22,5,net demand for safety,80840975|A673|E564|2026-01-22|net demand for safety|037952
21113405,C816,D767,2026-01-23,6,net demand for safety,21113405|C816|D767|2026-01-23|net demand for safety|038240
