transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21132758|0386|A716|2026-01-08|net demand for forecast|017889_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017889,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017890_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017890,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017891_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017891,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017892_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-23,1,21132758|0386|A716|2026-01-08|net demand for forecast|017892,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017893_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017893,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017894_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017894,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017895_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017895,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017896_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017896,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017897_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017897,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017898_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017898,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017899_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017899,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017900_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017900,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017901_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017901,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017902_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017902,20260108-0386-A716-Train-#1
80793615|0386|A716|2026-01-08|net demand for forecast|018276_transit_20260108-0386-A716-Train-#1,2026-01-21,80793615,0386,A716,2026-01-08,2026-01-22,1,80793615|0386|A716|2026-01-08|net demand for forecast|018276,20260108-0386-A716-Train-#1
