[2026-02-07 00:05:23] ============================================================
[2026-02-07 00:05:23] Auto-monitor started
[2026-02-07 00:05:23] Checking every 60s for completion of both runs
[2026-02-07 00:05:23] ============================================================
[2026-02-07 03:33:26] DB mode: day 76/76 [DONE] | File mode: day 70/76 
[2026-02-07 03:34:26] DB mode: day 76/76 [DONE] | File mode: day 71/76 
[2026-02-07 03:35:26] DB mode: day 76/76 [DONE] | File mode: day 71/76 
[2026-02-07 03:36:26] DB mode: day 76/76 [DONE] | File mode: day 71/76 
[2026-02-07 03:37:26] DB mode: day 76/76 [DONE] | File mode: day 72/76 
[2026-02-07 03:38:26] DB mode: day 76/76 [DONE] | File mode: day 72/76 
[2026-02-07 03:39:26] DB mode: day 76/76 [DONE] | File mode: day 72/76 
[2026-02-07 03:40:26] DB mode: day 76/76 [DONE] | File mode: day 73/76 
[2026-02-07 03:41:26] DB mode: day 76/76 [DONE] | File mode: day 73/76 
[2026-02-07 03:42:26] DB mode: day 76/76 [DONE] | File mode: day 73/76 
[2026-02-07 03:43:26] DB mode: day 76/76 [DONE] | File mode: day 74/76 
[2026-02-07 03:44:26] DB mode: day 76/76 [DONE] | File mode: day 74/76 
[2026-02-07 03:45:26] DB mode: day 76/76 [DONE] | File mode: day 74/76 
[2026-02-07 03:46:26] DB mode: day 76/76 [DONE] | File mode: day 75/76 
[2026-02-07 03:47:26] DB mode: day 76/76 [DONE] | File mode: day 75/76 [DONE]
[2026-02-07 03:47:26] Both runs complete! Starting comparison...
[2026-02-07 03:47:36] Starting 76-day comparison...
[2026-02-07 03:47:36] Command: D:\PG\Code\chainsight\.venv\Scripts\python.exe -X utf8 D:\PG\Code\chainsight\compare_76day_perf.py --dev-dir D:\PG\Code\chainsight\config\OC_Paste_S1_20251224\run_20260127_142402 --ref-dir D:\PG\Code\chainsight\outputs\OC_Paste_S1_20251224\run_20260206_234914
[2026-02-07 04:07:09] Comparison exit code: 1
[2026-02-07 04:07:09] === Comparison Results (last 30 lines) ===
[2026-02-07 04:07:09] OVERALL SUMMARY
[2026-02-07 04:07:09] ================================================================================
[2026-02-07 04:07:09] 
[2026-02-07 04:07:09]   DB vs Dev:
[2026-02-07 04:07:09]     [OK] module1/OrderLog: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module1/ShipmentLog: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module1/CutLog: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module3/NetDemand: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module4/ProductionPlan: 76/76 matched (0 dev-missing, 0 db-missing)
[2026-02-07 04:07:09]     [OK] module4/CapacityExceed: 76/76 matched (0 dev-missing, 0 db-missing)
