date,material,location,ending_inventory,in_transit,production_gr,delivery_gr,order,shipment,delivery_ship,supply_demand,safety_stock
2025-10-06,80843403,A888,0,0,0,0,49,0,0,0,0
2025-10-06,80843403,C563,120,0,0,0,0,0,0,0,0
2025-10-06,80843403,C816,2301,0,0,0,60,60,0,0,1279
2025-10-06,80843403,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80843403,D191,124,0,0,0,0,0,0,0,0
2025-10-06,80843403,D767,119,0,0,0,0,0,0,0,0
2025-10-06,80843403,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80843403,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8084340301,A668,3846,0,0,0,12,12,0,0,376
2025-10-06,8084340301,A680,1982,0,0,0,0,0,0,0,0
2025-10-06,8084340301,A888,0,0,0,0,49,0,0,0,0
2025-10-06,8084340301,C563,120,0,0,0,0,0,0,0,0
2025-10-06,8084340301,C816,2278,0,0,0,83,83,0,0,1279
2025-10-06,8084340301,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8084340301,D191,124,0,0,0,0,0,0,0,0
2025-10-06,8084340301,D767,119,0,0,0,0,0,0,0,0
2025-10-06,8084340301,E295,0,0,0,0,0,0,0,0,0
2025-10-06,8084340301,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,A668,1019,0,0,0,195,195,0,0,696
2025-10-06,80843405,A672,0,0,0,0,0,0,0,0,1114
2025-10-06,80843405,A673,0,0,0,0,479,0,0,0,2368
2025-10-06,80843405,A680,673,0,0,0,137,137,0,0,556
2025-10-06,80843405,A715,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,A716,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,A888,0,0,0,0,85,0,0,0,0
2025-10-06,80843405,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,C816,52,0,0,0,111,111,0,0,2229
2025-10-06,80843405,C819,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,D191,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,D767,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80843405,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80845182,A668,5104,0,0,0,126,126,0,0,796
2025-10-06,80845182,A672,0,0,0,0,4,0,0,0,887
2025-10-06,80845182,A673,0,0,0,0,152,0,0,0,981
2025-10-06,80845182,A680,562,0,0,0,0,0,0,0,530
2025-10-06,80845182,A715,0,0,0,0,193,0,0,0,370
2025-10-06,80845182,A716,0,0,0,0,97,0,0,0,245
2025-10-06,80845182,A888,0,0,0,0,240,0,0,0,701
2025-10-06,80845182,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80845182,C816,3432,0,0,0,284,284,0,0,623
2025-10-06,80845182,C819,0,0,0,0,0,0,0,0,0
2025-10-06,80845182,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80845182,D191,0,0,0,0,1,0,0,0,125
2025-10-06,80845182,D767,478,0,0,0,14,14,0,0,127
2025-10-06,80845182,E295,39,0,0,0,5,5,0,0,16
2025-10-06,80845182,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80845184,A668,1239,0,0,0,15,15,0,0,455
2025-10-06,80845184,A672,0,0,0,0,284,0,0,0,458
2025-10-06,80845184,A673,0,0,0,0,150,0,0,0,470
2025-10-06,80845184,A680,1562,0,0,0,68,68,0,0,285
2025-10-06,80845184,A715,0,0,0,0,68,0,0,0,208
2025-10-06,80845184,A716,0,0,0,0,39,0,0,0,137
2025-10-06,80845184,A888,0,0,0,0,124,0,0,0,356
2025-10-06,80845184,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80845184,C816,2738,0,0,0,179,179,0,0,360
2025-10-06,80845184,C819,0,0,0,0,0,0,0,0,0
2025-10-06,80845184,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80845184,D191,119,0,0,0,3,3,0,0,65
2025-10-06,80845184,D767,222,0,0,0,19,19,0,0,68
2025-10-06,80845184,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80845184,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80845590,A668,0,0,0,0,63,0,0,0,201
2025-10-06,80845590,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80845590,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80845590,C816,531,0,0,0,87,87,0,0,591
2025-10-06,80845590,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80845590,D191,0,0,0,0,0,0,0,0,0
2025-10-06,80845590,D767,0,0,0,0,0,0,0,0,0
